"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/09/2024";"0000";"16,4";"17,6";"16,4";"88,0";"90,0";"87,0";"14,4";"15,7";"14,4";"988,5";"988,5";"987,7";"6,9";"275,0";"11,0";"";"0,0"
"01/09/2024";"0100";"14,7";"16,4";"14,7";"88,0";"89,0";"87,0";"12,8";"14,4";"12,8";"989,3";"989,4";"988,5";"6,2";"275,0";"11,4";"0,80";"0,0"
"01/09/2024";"0200";"13,5";"14,7";"13,5";"87,0";"90,0";"86,0";"11,3";"12,8";"11,3";"989,5";"989,6";"989,3";"6,1";"277,0";"10,7";"";"0,0"
"01/09/2024";"0300";"12,7";"13,5";"12,7";"85,0";"88,0";"84,0";"10,2";"11,3";"10,2";"990,0";"990,0";"989,5";"5,2";"276,0";"11,0";"";"0,0"
"01/09/2024";"0400";"12,3";"12,8";"12,3";"82,0";"85,0";"82,0";"9,4";"10,1";"9,4";"989,5";"990,0";"989,4";"5,2";"285,0";"9,0";"";"0,0"
"01/09/2024";"0500";"11,9";"12,4";"11,9";"84,0";"84,0";"81,0";"9,2";"9,4";"9,1";"988,9";"989,5";"988,8";"5,5";"283,0";"8,9";"";"0,0"
"01/09/2024";"0600";"11,6";"11,9";"11,6";"82,0";"85,0";"82,0";"8,7";"9,3";"8,7";"988,7";"988,9";"988,6";"6,8";"287,0";"10,9";"";"0,0"
"01/09/2024";"0700";"11,0";"11,6";"11,0";"81,0";"84,0";"80,0";"7,9";"8,8";"7,9";"988,7";"988,9";"988,5";"7,1";"295,0";"13,0";"";"0,0"
"01/09/2024";"0800";"10,8";"11,1";"10,8";"81,0";"82,0";"80,0";"7,7";"8,0";"7,6";"988,7";"988,8";"988,5";"6,0";"299,0";"13,0";"";"0,0"
"01/09/2024";"0900";"10,8";"10,9";"10,8";"82,0";"82,0";"80,0";"7,8";"7,8";"7,5";"988,6";"988,9";"988,6";"6,4";"301,0";"9,9";"";"0,0"
"01/09/2024";"1000";"10,6";"10,8";"10,6";"82,0";"83,0";"81,0";"7,6";"7,8";"7,6";"989,1";"989,2";"988,6";"6,1";"296,0";"11,2";"0,30";"0,0"
"01/09/2024";"1100";"10,5";"10,7";"10,5";"81,0";"82,0";"80,0";"7,5";"7,7";"7,3";"989,3";"989,6";"989,1";"6,6";"289,0";"11,7";"120,30";"0,0"
"01/09/2024";"1200";"10,7";"10,9";"10,4";"83,0";"83,0";"79,0";"7,9";"7,9";"6,9";"989,9";"990,0";"989,2";"5,7";"284,0";"12,8";"472,00";"0,0"
"01/09/2024";"1300";"9,9";"11,2";"9,5";"91,0";"92,0";"78,0";"8,6";"8,6";"7,2";"990,2";"990,2";"989,8";"8,1";"290,0";"14,9";"684,40";"0,0"
"01/09/2024";"1400";"11,3";"11,5";"10,0";"79,0";"92,0";"76,0";"7,8";"8,9";"7,2";"990,1";"990,2";"989,8";"8,2";"278,0";"14,5";"1145,60";"0,0"
"01/09/2024";"1500";"12,3";"12,3";"11,2";"79,0";"83,0";"78,0";"8,9";"8,9";"7,8";"989,9";"990,1";"989,8";"8,7";"279,0";"14,9";"1154,80";"0,0"
"01/09/2024";"1600";"12,4";"13,2";"11,8";"82,0";"84,0";"75,0";"9,4";"9,6";"8,2";"989,9";"990,1";"989,7";"8,5";"290,0";"14,9";"1146,70";"0,0"
"01/09/2024";"1700";"13,0";"13,4";"12,1";"79,0";"82,0";"77,0";"9,5";"9,9";"8,8";"989,5";"989,9";"989,5";"7,2";"282,0";"14,2";"1086,30";"0,0"
"01/09/2024";"1800";"13,4";"13,6";"12,9";"78,0";"80,0";"76,0";"9,7";"10,0";"8,9";"989,3";"989,6";"989,2";"7,5";"287,0";"14,2";"890,10";"0,0"
"01/09/2024";"1900";"12,3";"13,8";"12,3";"92,0";"92,0";"78,0";"11,1";"11,1";"9,5";"989,3";"989,4";"988,9";"6,5";"283,0";"13,5";"588,50";"0,0"
"01/09/2024";"2000";"13,6";"14,0";"12,4";"84,0";"93,0";"80,0";"11,0";"11,6";"10,6";"989,6";"989,6";"989,2";"5,7";"269,0";"12,1";"330,60";"0,0"
"01/09/2024";"2100";"13,0";"13,6";"12,9";"90,0";"91,0";"84,0";"11,4";"11,4";"10,9";"989,9";"989,9";"989,6";"5,3";"275,0";"11,0";"132,30";"0,0"
"01/09/2024";"2200";"12,6";"13,0";"12,5";"94,0";"94,0";"90,0";"11,7";"11,7";"11,3";"990,3";"990,4";"989,9";"4,5";"273,0";"10,1";"5,20";"0,0"
"01/09/2024";"2300";"12,6";"12,7";"12,5";"95,0";"95,0";"94,0";"11,8";"11,9";"11,6";"990,8";"990,9";"990,3";"5,1";"276,0";"7,9";"";"0,0"
"02/09/2024";"0000";"12,6";"12,7";"12,5";"95,0";"96,0";"95,0";"11,9";"11,9";"11,8";"991,5";"991,5";"990,8";"4,3";"259,0";"10,3";"";"0,2"
"02/09/2024";"0100";"12,1";"12,7";"12,1";"94,0";"95,0";"93,0";"11,2";"11,9";"11,2";"991,7";"991,7";"991,4";"3,2";"246,0";"8,5";"";"0,0"
"02/09/2024";"0200";"11,9";"12,2";"11,9";"94,0";"94,0";"94,0";"10,9";"11,2";"10,9";"991,4";"991,8";"991,4";"2,8";"229,0";"7,2";"";"0,0"
"02/09/2024";"0300";"11,6";"11,9";"11,6";"96,0";"96,0";"94,0";"10,9";"11,0";"10,8";"991,7";"991,7";"991,4";"2,6";"262,0";"5,6";"";"0,0"
"02/09/2024";"0400";"11,4";"11,6";"11,4";"96,0";"96,0";"95,0";"10,7";"10,9";"10,7";"991,8";"991,9";"991,7";"3,1";"256,0";"4,6";"";"0,0"
"02/09/2024";"0500";"11,2";"11,5";"11,2";"95,0";"96,0";"95,0";"10,5";"10,8";"10,5";"991,0";"991,8";"990,9";"2,9";"242,0";"5,4";"";"0,0"
"02/09/2024";"0600";"11,0";"11,2";"11,0";"96,0";"96,0";"95,0";"10,4";"10,5";"10,4";"990,3";"990,9";"990,3";"2,2";"254,0";"6,6";"";"0,0"
"02/09/2024";"0700";"10,9";"11,1";"10,9";"94,0";"96,0";"94,0";"10,0";"10,4";"10,0";"989,7";"990,4";"989,7";"2,2";"253,0";"4,7";"";"0,0"
"02/09/2024";"0800";"10,6";"10,9";"10,6";"96,0";"96,0";"94,0";"10,0";"10,0";"9,9";"989,8";"989,8";"989,5";"2,5";"259,0";"4,1";"";"0,0"
"02/09/2024";"0900";"10,6";"10,7";"10,5";"94,0";"96,0";"94,0";"9,7";"10,0";"9,7";"989,8";"989,9";"989,7";"2,4";"262,0";"4,8";"";"0,0"
"02/09/2024";"1000";"10,5";"10,7";"10,5";"94,0";"94,0";"93,0";"9,6";"9,7";"9,6";"989,9";"990,0";"989,8";"1,1";"233,0";"4,3";"1,40";"0,0"
"02/09/2024";"1100";"10,6";"10,7";"10,5";"93,0";"94,0";"92,0";"9,5";"9,7";"9,4";"990,7";"990,7";"989,9";"1,3";"229,0";"3,0";"90,80";"0,0"
"02/09/2024";"1200";"10,6";"10,9";"10,5";"93,0";"93,0";"92,0";"9,5";"9,6";"9,3";"991,2";"991,2";"990,7";"1,8";"245,0";"3,3";"246,80";"0,0"
"02/09/2024";"1300";"11,0";"11,0";"10,6";"92,0";"93,0";"91,0";"9,8";"9,8";"9,3";"990,9";"991,5";"990,9";"2,0";"327,0";"3,5";"464,50";"0,0"
"02/09/2024";"1400";"11,5";"11,7";"10,9";"89,0";"92,0";"89,0";"9,8";"10,1";"9,4";"990,9";"991,2";"990,9";"2,5";"294,0";"4,5";"661,20";"0,0"
"02/09/2024";"1500";"12,8";"12,9";"11,5";"85,0";"90,0";"81,0";"10,4";"10,7";"9,6";"990,2";"990,9";"990,2";"3,4";"325,0";"5,2";"1151,30";"0,0"
"02/09/2024";"1600";"14,3";"14,6";"12,5";"79,0";"85,0";"77,0";"10,8";"11,1";"9,8";"989,2";"990,2";"989,2";"3,7";"350,0";"7,3";"1590,20";"0,0"
"02/09/2024";"1700";"15,4";"15,5";"14,1";"74,0";"80,0";"74,0";"10,8";"11,5";"10,1";"988,2";"989,2";"988,2";"3,9";"344,0";"6,5";"1727,10";"0,0"
"02/09/2024";"1800";"16,9";"17,1";"15,1";"70,0";"76,0";"70,0";"11,4";"12,1";"10,5";"987,2";"988,2";"987,2";"2,4";"350,0";"7,3";"1793,30";"0,0"
"02/09/2024";"1900";"18,7";"18,7";"16,5";"66,0";"72,0";"65,0";"12,2";"12,3";"11,1";"986,3";"987,2";"986,3";"2,0";"295,0";"7,0";"1985,00";"0,0"
"02/09/2024";"2000";"18,2";"18,9";"17,8";"68,0";"69,0";"64,0";"12,3";"12,4";"11,4";"985,9";"986,4";"985,9";"0,5";"12,0";"3,8";"723,80";"0,0"
"02/09/2024";"2100";"16,2";"18,9";"16,2";"77,0";"77,0";"63,0";"12,2";"12,8";"11,8";"986,2";"986,2";"985,9";"3,6";"152,0";"5,0";"503,80";"0,0"
"02/09/2024";"2200";"13,5";"16,2";"13,5";"87,0";"87,0";"77,0";"11,5";"12,2";"11,4";"986,0";"986,3";"985,9";"3,1";"127,0";"4,9";"24,10";"0,0"
"02/09/2024";"2300";"13,8";"14,2";"13,3";"85,0";"90,0";"85,0";"11,3";"12,1";"11,3";"986,0";"986,2";"986,0";"3,8";"61,0";"6,5";"";"0,0"
"03/09/2024";"0000";"12,3";"13,8";"12,2";"90,0";"90,0";"85,0";"10,7";"11,3";"10,7";"985,8";"986,1";"985,8";"5,0";"53,0";"7,6";"";"0,0"
"03/09/2024";"0100";"11,7";"12,3";"11,7";"91,0";"91,0";"90,0";"10,3";"10,7";"10,2";"985,7";"985,8";"985,6";"4,9";"34,0";"8,6";"";"0,0"
"03/09/2024";"0200";"11,3";"11,8";"11,3";"91,0";"92,0";"90,0";"9,9";"10,4";"9,9";"985,2";"985,9";"985,0";"5,3";"40,0";"8,1";"";"0,0"
"03/09/2024";"0300";"11,1";"11,4";"10,9";"92,0";"93,0";"91,0";"9,9";"10,2";"9,7";"984,5";"985,2";"984,5";"4,9";"32,0";"8,5";"";"0,0"
